,city,diesel
151,BRUNN,1.2199445485880414
152,BRUNNTHAL,1.2380108501001004
153,BUBENREUTH,1.2234961718308037
154,BUCH,1.2671242603550477
155,BUCH AM BUCHRAIN,1.2352119565217394
156,BUCH AM ERLBACH,1.2306807832777025
157,BUCHBACH,1.2426122448979886
158,BUCHDORF,1.2328773087070564
159,BUCHLOE,1.223273591421688
160,BUECHENBACH,1.2330046351476904
161,BUECHLBERG,1.2545282490154326
162,BUETTHARD,1.1814535104364507
163,BURGAU,1.2543668182399759
164,BURGBERNHEIM,1.225579076657429
165,BURGEBRACH,1.2374843012164045
166,BURGHASLACH,1.2308816642877356
167,BURGHAUSEN,1.2642870915246671
168,BURGHEIM,1.2299716952139503
169,BURGKIRCHEN A.D.ALZ,1.2722033220547755
170,BURGKUNSTADT,1.2119091118401968
171,BURGLENGENFELD,1.2233181448756596
172,BURGOBERBACH,1.2366129943502524
173,BURGPREPPACH,1.2166174363057491
174,BURGTHANN,1.2016627083999187
175,BURKARDROTH,1.2155965745849653
176,BUTTENHEIM,1.2285592831838923
177,BUXHEIM,1.1857751897409219
178,CADOLZBURG,1.2368291782086336
179,CHAM,1.246765501596384
180,CHAMERAU,1.2413595649165838
181,CHIEMING,1.2617839139054343
182,COBURG,1.2480401642588095
183,COLLENBERG,1.2191265679737686
184,CREUSSEN,1.2171623709691075
185,DACHAU,1.248057495918146
186,DAMMBACH,1.2370668181817905
187,DASING,1.2524282988397282
188,DEGGENDORF,1.220842188748742
189,DEGGENDORF/FREIHAFEN,1.2157880899062743
190,DEINING,1.2024943787555384
191,DENKENDORF,1.2208883098515895
192,DENKLINGEN,1.2002500843066914
193,DERCHING,1.2492451830204576
194,DETTELBACH,1.2282329561032541
195,DIEDORF,1.2308850437800753
196,DIEDORF (BIBURG),1.2868372064429165
197,DIEDORF-BIBURG,1.1481113295395766
198,DIESPECK,1.2125751955954547
199,DIESSEN,1.259053869399542
200,DIESSEN AM AMMERSEE,1.2141282051282045
201,DIETENHEIM,1.2282180005389218
202,DIETENHOFEN,1.2443785958069258
203,DIETERSBURG,1.2480103092783519
204,DIETFURT,1.2734986275359574
205,DIETMANNSRIED,1.4311534483486543
206,DIETRAMSZELL,1.2327962962962966
207,DILLINGEN,1.1804013453376354
208,DILLINGEN A. D. DONAU,1.168478560084681
209,DINGOLFING,1.240208127298962
210,DINKELSBUEHL,1.2249937773929351
211,DINKELSCHERBEN,1.2364624863360991
212,DIRLEWANG,1.2454813139932002
213,DITTELBRUNN,1.2265789461290226
214,DITTENHEIM,1.215510638297873
215,DOERFLES-ESBACH,1.218096818730931
216,DOLLNSTEIN,1.1965364211795573
217,DONAUSTAUF,1.2273305198991944
218,DONAUWOERTH,1.2257632077793692
219,DONNERSDORF,1.2081854546226851
220,DORFEN,1.2461003198612937
221,DRACHSELSRIED,1.2758851860860825
222,DURACH,1.251198355873776
223,EBELSBACH,1.2351591508727562
224,EBERMANNSTADT,1.233495760639137
225,EBERN,1.2225742571329867
226,EBERSBERG,1.213805370154692
227,EBERSDORF,1.185931101934353
228,EBERSDORF B. COBURG,1.2078205638003379
229,ECHING,1.2261330209691612
230,ECHING-VIECHT,1.216377777777782
231,ECKENTAL,1.2152217759146673
