Datum;Schluss;Eröffnung;Tageshoch;Tagestief
16.07.2018;61,33;63,96;64,34;61,06
13.07.2018;64,39;63,54;64,9;62,58
12.07.2018;63,8;63,56;64,36;62,27
11.07.2018;62,87;67,48;67,52;62,56
10.07.2018;67,19;66,67;67,74;66,58
09.07.2018;66,44;65,71;66,64;65,56
06.07.2018;65,6;65,99;66,09;64,97
05.07.2018;66,2;66,84;67,15;66,12
04.07.2018;67,1;66,8;67,14;66,56
03.07.2018;66,7;66,39;67,38;65,76
02.07.2018;66,43;67,5;67,85;66,31
29.06.2018;67,89;66,48;68,11;66,19
28.06.2018;67,31;67,01;67,81;66,66
27.06.2018;67,15;66,21;67,62;65,99
26.06.2018;65,51;64,16;65,86;63,64
25.06.2018;63,86;63,92;64,21;63,02
22.06.2018;64,75;62,77;64,99;62,77
21.06.2018;62,93;64,14;64,34;62,82
20.06.2018;64,58;64,97;65,54;64,02
19.06.2018;64,79;64,93;65,2;64,25
18.06.2018;64,82;62,86;64,95;62,34
15.06.2018;63,37;65,56;65,63;62,99
14.06.2018;65,61;66,15;66,46;65,45
13.06.2018;65,08;63,94;65,19;63,82
12.06.2018;64,61;65,14;65,62;64,23
11.06.2018;64,89;64,75;65,21;64,09
08.06.2018;65,06;65,85;66,04;64,77
07.06.2018;65,53;64,31;65,64;63,94
06.06.2018;63,99;63,85;64,75;63,23
05.06.2018;64,33;64,35;64,64;62,99
04.06.2018;64,37;65,54;65,79;64,29
01.06.2018;65,82;66,61;66,81;65,44
31.05.2018;66,36;66,18;67,36;65,89
30.05.2018;66,42;64,6;66,62;64,12
29.05.2018;65,29;65,66;65,99;64,56
28.05.2018;64,78;65,48;65,53;64,09
25.05.2018;65,58;67,62;67,67;65,21
24.05.2018;67,21;67,95;68,06;67,02
23.05.2018;68,18;67,9;68,22;66,82
22.05.2018;67,55;67,37;68,33;67,2
21.05.2018;67,17;66,65;67,48;66,22
18.05.2018;66,68;67,49;67,84;66,53
17.05.2018;67,21;67,18;68,23;67,06
16.05.2018;67,13;66,13;67,19;65,71
15.05.2018;66,26;66,25;67,13;65,81
14.05.2018;65,59;64,6;65,84;64,18
11.05.2018;64,49;64,85;64,89;64,35
10.05.2018;65,01;64,98;65,45;64,2
09.05.2018;65,13;64,27;65,32;64,18
08.05.2018;63,09;63,72;64,21;61,61
07.05.2018;63,89;62,91;64,03;62,76
04.05.2018;62,68;61,74;62,86;61,32
03.05.2018;61,42;60,96;61,81;60,46
02.05.2018;61,36;61,29;61,59;60,54
01.05.2018;60,97;62,24;62,51;60,65
30.04.2018;62,23;61,78;62,43;60,83
27.04.2018;61,44;61,51;61,77;61,21
26.04.2018;61,74;61,31;61,93;61,22
25.04.2018;60,83;60,83;60,99;60,15
24.04.2018;60,38;61,38;61,69;60,23
23.04.2018;61,19;60,42;61,51;59,9
20.04.2018;60,15;60,05;60,26;59,15
19.04.2018;59,75;59,7;60,54;59,49
18.04.2018;59,37;57,94;59,73;57,9
17.04.2018;57,86;57,92;58,11;57,25
16.04.2018;57,68;58,72;58,84;57,43
13.04.2018;58,78;58,26;59,02;57,96
12.04.2018;58,43;58,48;58,81;57,68
11.04.2018;58,27;57,43;59,1;57,06
10.04.2018;57,51;55,42;57,75;55,42
09.04.2018;55,72;54,46;55,84;54,38
06.04.2018;54,57;55,36;55,8;54,36
05.04.2018;55,83;55,85;56,32;55,34
04.04.2018;55,38;55,49;55,6;54,3
03.04.2018;55,52;55,12;55,79;55,11
02.04.2018;54,98;56,34;56,93;54,85
29.03.2018;57,12;56,79;57,26;56,17
28.03.2018;56,48;56,63;57,07;55,87
27.03.2018;56,51;56,52;57,25;55,97
26.03.2018;56,33;56,58;57,08;55,97
23.03.2018;57,01;55,93;57,11;55,73
22.03.2018;55,93;56,51;56,57;55,66
21.03.2018;56,29;54,78;56,6;54,67
20.03.2018;55,05;54,02;55,43;54,02
19.03.2018;53,54;53,51;53,82;53,01
16.03.2018;53,88;52,96;54,05;52,8
15.03.2018;52,91;52,73;53,12;52,49
14.03.2018;52,46;52,33;52,72;51,79
13.03.2018;52,15;52,38;52,99;51,68
12.03.2018;52,65;53,1;53,39;52,03
09.03.2018;53,21;51,95;53,33;51,75
08.03.2018;51,65;52,38;52,42;51,5
07.03.2018;51,85;52,56;53,02;51,44
06.03.2018;52,97;;53,27;52,57
05.03.2018;53,14;52,42;53,42;51,97
02.03.2018;52,26;52,02;52,48;51,31
01.03.2018;52;52,6;52,99;51,48
28.02.2018;53,95;54,47;54,85;53,66
27.02.2018;54,47;55,24;55,27;54,22
26.02.2018;54,82;54,65;55,14;54,18
23.02.2018;54,74;53,92;54,79;53,51
22.02.2018;53,85;52,65;53,99;52,42
21.02.2018;53,28;52,98;53,37;52,45
20.02.2018;52,89;53,2;53,34;52,51
19.02.2018;52,91;52,34;53,1;52,25
16.02.2018;52,27;52,12;52,57;51,74
15.02.2018;51,46;51,55;52,11;50,49
14.02.2018;51,67;50,45;51,84;49,73
13.02.2018;50,79;50,9;51,1;50,01
12.02.2018;50,93;50,85;52,4;50,85
09.02.2018;51,25;52,6;52,76;50,42
08.02.2018;52,9;53,29;53,55;52,32
07.02.2018;53,44;54,82;55,25;53,16
06.02.2018;54,02;54,15;54,62;53,75
05.02.2018;54,61;55,04;55,29;54,03
02.02.2018;55,05;56,19;56,2;54,55
01.02.2018;55,7;55,18;55,95;55,02
31.01.2018;55,63;55,13;55,71;55,05
30.01.2018;55,65;55,87;55,94;55,15
29.01.2018;56,1;56,91;57,05;55,78
26.01.2018;56,75;56,39;57;56,37
25.01.2018;56,9;57,32;57,59;56,53
24.01.2018;56,85;56,4;57,18;56,05
23.01.2018;56,88;56,24;57,11;56,2
22.01.2018;56,3;56,11;56,69;55,78
19.01.2018;56,13;56,46;56,52;55,86
18.01.2018;56,61;56,79;56,87;56,2
17.01.2018;57;56,98;57,18;56,32
16.01.2018;56,41;57,14;57,21;56,15
15.01.2018;57,27;56,96;57,36;56,69
12.01.2018;57,28;56,68;57,32;56,23
11.01.2018;57,52;57,43;58,18;57,31
10.01.2018;57,91;57,84;58,05;57,53
09.01.2018;57,65;56,97;58,05;56,71
08.01.2018;56,62;56,64;56,8;56,34
05.01.2018;56,21;56,51;56,62;55,91
04.01.2018;56,39;56,24;56,55;56,01
03.01.2018;56,46;55,38;56,62;55,26
02.01.2018;55,21;55,2;55,81;54,94
