uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,state
74832731-b260-427e-ada9-2d393255706f,BayWa Tankstelle  Schwabmünchen ,BAYWA,THURNU. TAXISSTR.,1,86830,SCHWABMÜNCHEN,48.17911,10.76752,2014-03-18 16:45:31+01,no data,Bayern
5fb44aa1-45d9-4332-9945-29d9b09c16f3,SEEL Tankstelle,SEEL TANKSTELLE,DONAUWÖRTHER STR.,29,86663,ASBACH-BÄUMENHEIM,48.685260772705,10.806900024414,2014-03-18 16:45:31+01,no data,Bayern
2aee05b5-d1fe-46ed-9e41-82528bbd9f28,Kaufland Tankstelle Kurt Eibl,NO BRAND,LINDHOFSTR. ,10,84307,EGGENFELDEN,48.39827,12.76181,2014-03-18 16:45:31+01,no data,Bayern
7e564625-ba43-41cf-ac75-f486f261bac5,AVIA Tankstelle,AVIA,BAYREUTHER STRASSE,36,95163,WEISSENSTADT,50.09739,11.88068,2014-03-18 16:45:31+01,no data,Bayern
8a5cd738-949a-45e6-6e23-bd87243bba15,Autohaus Pfrang,FREIE TANKSTELLE,UFFENHEIMER STR.,15,97239,AUB,49.551126,10.069323,2014-03-18 16:45:31+01,no data,Bayern
9f8ef809-ffa0-4cd1-b8ba-48124dcf925d,BayWa Tankstelle Neunburg v.W. ,BAYWA,BAHNHOFSTR.,28,92431,NEUNBURG V.W.,49.34576,12.37576,2014-03-18 16:45:31+01,no data,Bayern
64c43b30-4e90-4eae-aab5-44358c1ce7e5,ELO Erlangen,ELO,RATHENAUSTRASSE,17a,91052,ERLANGEN,49.583761,11.00418,2014-03-18 16:45:31+01,no data,Bayern
a49c6f69-9406-40af-8ed7-40b603f60319,Waischenfeld,PICKELMANN,HAUPTSTR.,50,91344,WAISCHENFELD,49.849109649658,11.343228340149,2014-03-18 16:45:31+01,no data,Bayern
7c18f3cd-60ef-44ee-939b-a47fe7da08fc,ERNSGADEN - HAUPTSTRAßE 29,AUTOL,HAUPTSTRASSE,29,85119,ERNSGADEN,48.729629,11.569462,2014-03-18 16:45:31+01,no data,Bayern
812c61cc-420d-42da-b15c-bad7d83ebd3c,Passau Alte Strasse 39,OMV,ALTE STR.,39,94034,PASSAU,48.58761,13.48278,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",Bayern
81b81b5c-29fb-4a06-b7c7-23b8c51e6a23,BayWa Tankstelle Rimpar,BAYWA,NIEDERHOFERSTR.,58,97222,RIMPAR,49.85284,9.9592,2014-03-18 16:45:31+01,no data,Bayern
c893295c-94ff-4294-abde-a88df6883b5a,Esso Tankstelle,ESSO,EBERSBERGER STR. 31, ,83022,ROSENHEIM,47.864495,12.121911,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""05:30"",""endp"":""23:15""}]}]}",Bayern
cbbd65ed-bc19-406c-9897-fb351ba05a47,Esso Tankstelle,ESSO,HOCHSTR. 5, ,81669,MUENCHEN,48.130042,11.589152,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]}]}",Bayern
d4a6d0d2-f786-4288-8c2e-d206615e963f,Shell Rain Am Lech Neuhofweg ,SHELL,NEUHOFWEG,0,86641,RAIN AM LECH,48.704021,10.927625,2014-03-18 16:45:31+01,no data,Bayern
